episode, score
1,53.3333333333
2,66.6666666667
3,53.3333333333
4,46.6666666667
5,53.3333333333
6,53.3333333333
7,26.6666666667
8,60.0
9,73.3333333333
10,53.3333333333
11,46.6666666667
12,73.3333333333
13,53.3333333333
14,46.6666666667
15,46.6666666667
16,60.0
17,60.0
18,66.6666666667
19,46.6666666667
20,46.6666666667
21,26.6666666667
22,46.6666666667
23,53.3333333333
24,60.0
25,46.6666666667
26,46.6666666667
27,53.3333333333
28,53.3333333333
29,26.6666666667
30,60.0
31,46.6666666667
32,46.6666666667
33,53.3333333333
34,46.6666666667
35,53.3333333333
36,46.6666666667
37,60.0
38,73.3333333333
39,53.3333333333
40,46.6666666667
41,53.3333333333
42,53.3333333333
43,26.6666666667
44,60.0
45,73.3333333333
46,46.6666666667
47,73.3333333333
48,26.6666666667
49,53.3333333333
50,53.3333333333
51,53.3333333333
52,53.3333333333
53,53.3333333333
54,80.0
55,53.3333333333
56,60.0
57,26.6666666667
58,46.6666666667
59,26.6666666667
60,46.6666666667
61,73.3333333333
62,73.3333333333
63,53.3333333333
64,46.6666666667
65,46.6666666667
66,60.0
67,53.3333333333
68,60.0
69,60.0
70,53.3333333333
71,53.3333333333
72,66.6666666667
73,46.6666666667
74,86.6666666667
75,66.6666666667
76,26.6666666667
77,53.3333333333
78,26.6666666667
79,73.3333333333
80,53.3333333333
81,46.6666666667
82,26.6666666667
83,46.6666666667
84,46.6666666667
85,53.3333333333
86,53.3333333333
87,53.3333333333
88,46.6666666667
89,46.6666666667
90,46.6666666667
91,53.3333333333
92,53.3333333333
93,46.6666666667
94,53.3333333333
95,73.3333333333
96,53.3333333333
97,93.3333333333
98,73.3333333333
99,53.3333333333
100,46.6666666667
101,53.3333333333
102,73.3333333333
103,53.3333333333
104,46.6666666667
105,53.3333333333
106,46.6666666667
107,80.0
108,53.3333333333
109,73.3333333333
110,60.0
111,46.6666666667
112,60.0
113,46.6666666667
114,46.6666666667
115,73.3333333333
116,46.6666666667
117,60.0
118,53.3333333333
119,66.6666666667
120,60.0
121,53.3333333333
122,53.3333333333
123,26.6666666667
124,86.6666666667
125,46.6666666667
126,53.3333333333
127,53.3333333333
128,53.3333333333
129,53.3333333333
130,53.3333333333
131,53.3333333333
132,73.3333333333
133,53.3333333333
134,46.6666666667
135,66.6666666667
136,73.3333333333
137,53.3333333333
138,53.3333333333
139,46.6666666667
140,26.6666666667
141,60.0
142,53.3333333333
143,26.6666666667
144,60.0
145,53.3333333333
146,53.3333333333
147,26.6666666667
148,53.3333333333
149,60.0
150,73.3333333333
151,73.3333333333
152,26.6666666667
153,66.6666666667
154,60.0
155,60.0
156,46.6666666667
157,46.6666666667
158,46.6666666667
159,26.6666666667
160,53.3333333333
161,73.3333333333
162,26.6666666667
163,60.0
164,60.0
165,73.3333333333
166,53.3333333333
167,60.0
168,53.3333333333
169,53.3333333333
170,46.6666666667
171,46.6666666667
172,46.6666666667
173,53.3333333333
174,46.6666666667
175,26.6666666667
176,53.3333333333
177,60.0
178,53.3333333333
179,46.6666666667
180,46.6666666667
181,53.3333333333
182,46.6666666667
183,66.6666666667
184,46.6666666667
185,53.3333333333
186,53.3333333333
187,53.3333333333
188,60.0
189,73.3333333333
190,53.3333333333
191,73.3333333333
192,53.3333333333
193,53.3333333333
194,53.3333333333
195,73.3333333333
196,46.6666666667
197,46.6666666667
198,46.6666666667
199,53.3333333333
200,53.3333333333
201,53.3333333333
202,53.3333333333
203,46.6666666667
204,60.0
205,60.0
206,73.3333333333
207,46.6666666667
208,46.6666666667
209,53.3333333333
210,80.0
211,46.6666666667
212,46.6666666667
213,60.0
214,53.3333333333
215,46.6666666667
216,46.6666666667
217,46.6666666667
218,86.6666666667
219,66.6666666667
220,60.0
221,53.3333333333
222,46.6666666667
223,26.6666666667
224,60.0
225,60.0
226,86.6666666667
227,46.6666666667
228,53.3333333333
229,53.3333333333
230,53.3333333333
231,46.6666666667
232,46.6666666667
233,73.3333333333
234,60.0
235,46.6666666667
236,80.0
237,60.0
238,46.6666666667
239,53.3333333333
240,53.3333333333
241,53.3333333333
242,53.3333333333
243,60.0
244,46.6666666667
245,46.6666666667
246,60.0
247,80.0
248,53.3333333333
249,46.6666666667
250,53.3333333333
251,53.3333333333
252,53.3333333333
253,53.3333333333
254,26.6666666667
255,46.6666666667
256,73.3333333333
257,53.3333333333
258,53.3333333333
259,93.3333333333
260,46.6666666667
261,66.6666666667
262,53.3333333333
263,93.3333333333
264,60.0
265,46.6666666667
