episode, score
1,26.6666666667
2,26.6666666667
3,26.6666666667
4,26.6666666667
5,53.3333333333
6,53.3333333333
7,53.3333333333
8,53.3333333333
9,53.3333333333
10,53.3333333333
11,73.3333333333
12,53.3333333333
13,53.3333333333
14,53.3333333333
15,60.0
16,53.3333333333
17,53.3333333333
18,53.3333333333
19,53.3333333333
20,53.3333333333
21,53.3333333333
22,53.3333333333
23,53.3333333333
24,53.3333333333
25,53.3333333333
26,53.3333333333
27,53.3333333333
28,53.3333333333
29,53.3333333333
30,53.3333333333
31,73.3333333333
32,53.3333333333
33,53.3333333333
34,53.3333333333
35,53.3333333333
36,53.3333333333
37,53.3333333333
38,53.3333333333
39,53.3333333333
40,53.3333333333
41,53.3333333333
42,53.3333333333
43,66.6666666667
44,53.3333333333
45,53.3333333333
46,53.3333333333
47,60.0
48,53.3333333333
49,53.3333333333
50,53.3333333333
51,53.3333333333
52,53.3333333333
53,60.0
54,73.3333333333
55,53.3333333333
56,53.3333333333
57,53.3333333333
58,53.3333333333
59,53.3333333333
60,73.3333333333
61,53.3333333333
62,53.3333333333
63,53.3333333333
64,53.3333333333
65,53.3333333333
66,53.3333333333
67,53.3333333333
68,60.0
69,53.3333333333
70,53.3333333333
71,53.3333333333
72,53.3333333333
73,53.3333333333
74,53.3333333333
75,53.3333333333
76,53.3333333333
77,53.3333333333
78,53.3333333333
79,53.3333333333
80,53.3333333333
81,53.3333333333
82,53.3333333333
83,53.3333333333
84,53.3333333333
85,53.3333333333
86,53.3333333333
87,53.3333333333
88,53.3333333333
89,53.3333333333
90,53.3333333333
91,53.3333333333
92,53.3333333333
93,53.3333333333
94,53.3333333333
95,53.3333333333
96,53.3333333333
97,53.3333333333
98,53.3333333333
99,53.3333333333
100,53.3333333333
101,53.3333333333
102,60.0
103,53.3333333333
104,53.3333333333
105,53.3333333333
106,73.3333333333
107,53.3333333333
108,53.3333333333
109,53.3333333333
110,53.3333333333
111,60.0
112,53.3333333333
113,53.3333333333
114,53.3333333333
115,53.3333333333
116,53.3333333333
117,53.3333333333
118,53.3333333333
119,53.3333333333
120,53.3333333333
121,53.3333333333
122,53.3333333333
123,53.3333333333
124,53.3333333333
125,53.3333333333
126,53.3333333333
127,53.3333333333
128,53.3333333333
129,53.3333333333
130,53.3333333333
131,53.3333333333
132,53.3333333333
133,53.3333333333
134,53.3333333333
135,53.3333333333
136,53.3333333333
137,46.6666666667
138,53.3333333333
139,60.0
140,53.3333333333
141,53.3333333333
142,60.0
143,53.3333333333
144,53.3333333333
145,53.3333333333
146,53.3333333333
147,53.3333333333
148,53.3333333333
149,53.3333333333
150,53.3333333333
151,53.3333333333
152,53.3333333333
153,53.3333333333
154,53.3333333333
155,53.3333333333
156,73.3333333333
157,53.3333333333
158,53.3333333333
159,53.3333333333
160,53.3333333333
161,53.3333333333
162,53.3333333333
163,53.3333333333
164,53.3333333333
165,53.3333333333
166,53.3333333333
167,53.3333333333
168,53.3333333333
169,53.3333333333
170,53.3333333333
171,53.3333333333
172,53.3333333333
173,53.3333333333
174,53.3333333333
175,53.3333333333
176,53.3333333333
177,53.3333333333
178,60.0
179,53.3333333333
180,53.3333333333
181,53.3333333333
182,73.3333333333
183,60.0
184,73.3333333333
185,46.6666666667
186,53.3333333333
187,53.3333333333
188,53.3333333333
189,53.3333333333
190,26.6666666667
191,73.3333333333
192,53.3333333333
193,53.3333333333
194,60.0
195,53.3333333333
196,53.3333333333
197,53.3333333333
198,53.3333333333
199,53.3333333333
200,53.3333333333
201,53.3333333333
202,53.3333333333
203,53.3333333333
204,53.3333333333
205,53.3333333333
206,53.3333333333
207,53.3333333333
208,53.3333333333
209,53.3333333333
210,53.3333333333
211,53.3333333333
212,53.3333333333
213,53.3333333333
214,53.3333333333
215,53.3333333333
216,53.3333333333
217,53.3333333333
218,53.3333333333
219,53.3333333333
220,53.3333333333
221,53.3333333333
222,53.3333333333
223,53.3333333333
224,53.3333333333
225,53.3333333333
226,53.3333333333
227,53.3333333333
228,53.3333333333
229,53.3333333333
230,53.3333333333
231,53.3333333333
232,60.0
233,53.3333333333
234,73.3333333333
235,53.3333333333
236,53.3333333333
237,53.3333333333
238,53.3333333333
239,53.3333333333
240,53.3333333333
241,53.3333333333
242,53.3333333333
243,53.3333333333
244,53.3333333333
245,53.3333333333
246,73.3333333333
247,53.3333333333
248,53.3333333333
249,53.3333333333
250,53.3333333333
251,53.3333333333
252,53.3333333333
253,53.3333333333
254,53.3333333333
255,53.3333333333
256,53.3333333333
257,53.3333333333
258,53.3333333333
259,53.3333333333
260,60.0
261,53.3333333333
262,53.3333333333
263,53.3333333333
264,53.3333333333
265,73.3333333333
266,53.3333333333
267,53.3333333333
268,53.3333333333
269,53.3333333333
270,53.3333333333
271,53.3333333333
272,53.3333333333
273,53.3333333333
274,53.3333333333
275,53.3333333333
276,53.3333333333
277,53.3333333333
278,53.3333333333
279,53.3333333333
280,53.3333333333
281,53.3333333333
282,53.3333333333
283,53.3333333333
284,66.6666666667
285,60.0
286,53.3333333333
287,53.3333333333
288,53.3333333333
289,53.3333333333
290,53.3333333333
291,53.3333333333
292,53.3333333333
293,53.3333333333
294,53.3333333333
295,60.0
296,53.3333333333
297,53.3333333333
298,53.3333333333
299,53.3333333333
300,53.3333333333
301,53.3333333333
302,53.3333333333
303,73.3333333333
304,53.3333333333
305,53.3333333333
306,53.3333333333
307,53.3333333333
308,60.0
309,73.3333333333
310,73.3333333333
311,60.0
312,73.3333333333
313,73.3333333333
314,73.3333333333
315,60.0
316,73.3333333333
317,60.0
318,60.0
319,73.3333333333
320,73.3333333333
321,73.3333333333
322,73.3333333333
323,73.3333333333
324,73.3333333333
325,73.3333333333
326,73.3333333333
327,73.3333333333
328,73.3333333333
329,73.3333333333
330,73.3333333333
331,73.3333333333
332,73.3333333333
333,73.3333333333
334,73.3333333333
335,73.3333333333
336,93.3333333333
337,73.3333333333
338,93.3333333333
339,73.3333333333
340,73.3333333333
341,73.3333333333
342,73.3333333333
343,73.3333333333
344,73.3333333333
345,73.3333333333
346,73.3333333333
347,73.3333333333
348,73.3333333333
349,73.3333333333
350,73.3333333333
351,73.3333333333
352,60.0
353,73.3333333333
354,73.3333333333
355,73.3333333333
356,73.3333333333
357,73.3333333333
358,73.3333333333
359,73.3333333333
360,73.3333333333
361,73.3333333333
362,86.6666666667
363,73.3333333333
364,60.0
365,73.3333333333
366,73.3333333333
367,73.3333333333
368,73.3333333333
369,60.0
370,73.3333333333
371,73.3333333333
372,60.0
373,73.3333333333
374,66.6666666667
375,73.3333333333
376,73.3333333333
377,73.3333333333
378,73.3333333333
379,73.3333333333
380,73.3333333333
381,73.3333333333
382,73.3333333333
383,60.0
384,73.3333333333
385,73.3333333333
386,73.3333333333
387,73.3333333333
388,73.3333333333
389,73.3333333333
390,73.3333333333
391,73.3333333333
392,73.3333333333
393,73.3333333333
394,73.3333333333
395,73.3333333333
396,73.3333333333
397,73.3333333333
398,73.3333333333
399,73.3333333333
400,73.3333333333
401,73.3333333333
402,73.3333333333
403,73.3333333333
404,73.3333333333
405,60.0
406,73.3333333333
407,73.3333333333
408,73.3333333333
409,53.3333333333
410,73.3333333333
411,73.3333333333
412,73.3333333333
413,73.3333333333
414,73.3333333333
415,73.3333333333
416,73.3333333333
417,73.3333333333
418,73.3333333333
419,73.3333333333
420,73.3333333333
421,60.0
422,73.3333333333
423,73.3333333333
424,86.6666666667
425,73.3333333333
426,73.3333333333
427,73.3333333333
428,73.3333333333
429,73.3333333333
430,73.3333333333
431,73.3333333333
432,86.6666666667
433,46.6666666667
434,73.3333333333
435,73.3333333333
436,73.3333333333
437,73.3333333333
438,73.3333333333
439,60.0
440,73.3333333333
441,73.3333333333
442,73.3333333333
443,73.3333333333
444,73.3333333333
445,73.3333333333
446,93.3333333333
447,73.3333333333
448,46.6666666667
449,73.3333333333
450,66.6666666667
451,73.3333333333
452,73.3333333333
453,73.3333333333
454,60.0
455,93.3333333333
456,73.3333333333
457,73.3333333333
458,73.3333333333
459,73.3333333333
460,73.3333333333
461,73.3333333333
462,73.3333333333
463,73.3333333333
464,73.3333333333
465,73.3333333333
466,73.3333333333
467,73.3333333333
468,73.3333333333
469,73.3333333333
470,60.0
471,73.3333333333
472,73.3333333333
473,73.3333333333
474,73.3333333333
475,73.3333333333
476,73.3333333333
477,73.3333333333
478,73.3333333333
479,73.3333333333
480,66.6666666667
481,73.3333333333
482,73.3333333333
483,73.3333333333
484,73.3333333333
485,73.3333333333
486,73.3333333333
487,73.3333333333
488,93.3333333333
489,73.3333333333
490,73.3333333333
491,73.3333333333
492,73.3333333333
493,73.3333333333
494,73.3333333333
495,73.3333333333
496,73.3333333333
497,73.3333333333
498,73.3333333333
499,73.3333333333
500,60.0
501,73.3333333333
502,73.3333333333
503,73.3333333333
504,73.3333333333
505,73.3333333333
506,73.3333333333
507,73.3333333333
508,73.3333333333
509,73.3333333333
510,73.3333333333
511,73.3333333333
512,73.3333333333
513,86.6666666667
514,93.3333333333
515,66.6666666667
516,73.3333333333
517,66.6666666667
518,73.3333333333
519,86.6666666667
520,73.3333333333
521,73.3333333333
522,73.3333333333
523,73.3333333333
524,73.3333333333
525,73.3333333333
526,73.3333333333
527,73.3333333333
528,73.3333333333
529,73.3333333333
530,73.3333333333
531,73.3333333333
532,73.3333333333
533,46.6666666667
534,93.3333333333
535,73.3333333333
536,73.3333333333
537,73.3333333333
538,73.3333333333
539,73.3333333333
540,73.3333333333
541,73.3333333333
542,73.3333333333
543,73.3333333333
544,73.3333333333
545,60.0
546,73.3333333333
547,73.3333333333
548,73.3333333333
549,73.3333333333
550,73.3333333333
551,73.3333333333
