episode, score
1,53.3333333333
2,53.3333333333
3,46.6666666667
4,73.3333333333
5,53.3333333333
6,26.6666666667
7,60.0
8,53.3333333333
9,53.3333333333
10,53.3333333333
11,53.3333333333
12,60.0
13,53.3333333333
14,60.0
15,53.3333333333
16,93.3333333333
17,53.3333333333
18,53.3333333333
19,46.6666666667
20,53.3333333333
21,60.0
22,53.3333333333
23,46.6666666667
24,60.0
25,60.0
26,86.6666666667
27,46.6666666667
28,46.6666666667
29,53.3333333333
30,46.6666666667
31,73.3333333333
32,73.3333333333
33,60.0
34,80.0
35,60.0
36,46.6666666667
37,53.3333333333
38,60.0
39,60.0
40,53.3333333333
41,46.6666666667
42,53.3333333333
43,46.6666666667
44,53.3333333333
45,46.6666666667
46,53.3333333333
47,46.6666666667
48,60.0
49,53.3333333333
50,53.3333333333
51,73.3333333333
52,53.3333333333
53,46.6666666667
54,46.6666666667
55,53.3333333333
56,60.0
57,73.3333333333
58,53.3333333333
59,73.3333333333
60,46.6666666667
61,46.6666666667
62,73.3333333333
63,46.6666666667
64,26.6666666667
65,66.6666666667
66,53.3333333333
67,53.3333333333
68,26.6666666667
69,60.0
70,46.6666666667
71,26.6666666667
72,53.3333333333
73,26.6666666667
74,53.3333333333
75,60.0
76,73.3333333333
77,53.3333333333
78,53.3333333333
79,46.6666666667
80,53.3333333333
81,53.3333333333
82,46.6666666667
83,46.6666666667
84,53.3333333333
85,53.3333333333
86,73.3333333333
87,53.3333333333
88,53.3333333333
89,66.6666666667
90,60.0
91,60.0
92,26.6666666667
93,60.0
94,46.6666666667
95,73.3333333333
96,66.6666666667
97,60.0
98,46.6666666667
99,53.3333333333
100,53.3333333333
101,93.3333333333
102,46.6666666667
103,46.6666666667
104,93.3333333333
105,73.3333333333
106,73.3333333333
107,26.6666666667
108,60.0
109,60.0
110,46.6666666667
111,46.6666666667
112,73.3333333333
113,46.6666666667
114,53.3333333333
115,60.0
116,73.3333333333
117,60.0
118,80.0
119,53.3333333333
120,53.3333333333
121,66.6666666667
122,53.3333333333
123,46.6666666667
124,46.6666666667
125,60.0
126,66.6666666667
127,46.6666666667
128,46.6666666667
129,80.0
130,73.3333333333
131,46.6666666667
132,66.6666666667
133,86.6666666667
134,46.6666666667
135,60.0
136,26.6666666667
137,60.0
138,46.6666666667
139,46.6666666667
140,46.6666666667
141,53.3333333333
142,46.6666666667
143,53.3333333333
144,46.6666666667
145,53.3333333333
146,46.6666666667
147,73.3333333333
148,73.3333333333
149,46.6666666667
150,53.3333333333
151,53.3333333333
152,53.3333333333
153,60.0
154,53.3333333333
155,53.3333333333
156,26.6666666667
157,46.6666666667
158,53.3333333333
159,60.0
160,46.6666666667
161,46.6666666667
162,93.3333333333
163,73.3333333333
164,53.3333333333
165,53.3333333333
166,60.0
167,46.6666666667
168,53.3333333333
169,73.3333333333
170,60.0
171,73.3333333333
172,26.6666666667
173,66.6666666667
174,53.3333333333
175,46.6666666667
176,60.0
177,46.6666666667
178,46.6666666667
179,60.0
180,53.3333333333
181,26.6666666667
182,86.6666666667
183,46.6666666667
184,46.6666666667
185,46.6666666667
186,46.6666666667
187,60.0
188,86.6666666667
189,60.0
190,46.6666666667
191,66.6666666667
192,60.0
193,73.3333333333
194,46.6666666667
195,46.6666666667
196,60.0
197,53.3333333333
198,73.3333333333
199,53.3333333333
200,60.0
201,53.3333333333
202,46.6666666667
203,73.3333333333
204,53.3333333333
205,73.3333333333
206,60.0
207,66.6666666667
208,46.6666666667
209,53.3333333333
210,53.3333333333
211,53.3333333333
212,46.6666666667
213,53.3333333333
214,66.6666666667
215,26.6666666667
216,60.0
217,73.3333333333
218,53.3333333333
219,46.6666666667
220,46.6666666667
221,46.6666666667
222,53.3333333333
223,46.6666666667
224,53.3333333333
225,46.6666666667
226,53.3333333333
227,46.6666666667
228,46.6666666667
229,53.3333333333
230,73.3333333333
231,66.6666666667
232,26.6666666667
233,60.0
234,53.3333333333
235,46.6666666667
236,46.6666666667
237,60.0
238,46.6666666667
239,46.6666666667
240,73.3333333333
241,66.6666666667
242,53.3333333333
243,26.6666666667
244,80.0
245,80.0
246,46.6666666667
247,80.0
248,73.3333333333
249,60.0
250,46.6666666667
251,26.6666666667
252,26.6666666667
253,73.3333333333
254,53.3333333333
255,46.6666666667
256,60.0
257,46.666666
